FirstName,MiddleName,LastName,DisplayName,Title,Company,Dept,Mobile,TelephoneNumber,Email
Fred,T,Flint,Fred Flint,Dino Operator,Slate,Ops,2332,3424,flint@thecompanyc.com
Barney,d,Rub,Barney Rub,Boss,Slate,Ops,3242143,324234423,brum@thecompanyc.com
Dino,d,Flint,Dino Flint,Dog,Slate,Sales,523415,234324,dino@thecompanyc.com
Wilma,g,Rub,Wilma Rub,Supervisor,Slate,Marketing,234523,2342,wilma@thecompanyc.com
Betty,g,Flint,Betty Flint,Supervisor,Slate,Marketing,253,234423,betty@thecompanyc.com
Ty,,Ayelloribbin,Ty Ayelloribbin,,Slate,,,,TyAyelloribbin@thecompanyc.com
Hugo,,First,Hugo First,,Slate,,,,HugoFirst@thecompanyc.com
Percy,,Vere,Percy Vere,,Slate,,,,PercyVere@thecompanyc.com
Jack,,Aranda,Jack Aranda,,Slate,,,,JackAranda@thecompanyc.com
Olive,,Tree,Olive Tree,,Slate,,,,OliveTree@thecompanyc.com
Fran,,G.,Fran G.,Pani,Slate,,,,FranG.@thecompanyc.com
John,,Quil,John Quil,,Slate,,,,JohnQuil@thecompanyc.com
Ev,,R.,Ev R.,Lasting,Slate,,,,EvR.@thecompanyc.com
Anne,,Thurium,Anne Thurium,,Slate,,,,AnneThurium@thecompanyc.com
Cherry,,Blossom,Cherry Blossom,,Slate,,,,CherryBlossom@thecompanyc.com
Glad,,I.,Glad I.,Oli,Slate,,,,GladI.@thecompanyc.com
Ginger,,Plant,Ginger Plant,,Slate,,,,GingerPlant@thecompanyc.com
Del,,Phineum,Del Phineum,,Slate,,,,DelPhineum@thecompanyc.com
Rose,,Bush,Rose Bush,,Slate,,,,RoseBush@thecompanyc.com
Perry,,Scope,Perry Scope,,Slate,,,,PerryScope@thecompanyc.com
Frank,,N.,Frank N.,Stein,Slate,,,,FrankN.@thecompanyc.com
Roy,,L.,Roy L.,Commishun,Slate,,,,RoyL.@thecompanyc.com
